SKU,Images,Meta: bacola_post_views_count,Meta: klb_product_badge_type,Meta: _alg_wc_wholesale_pricing_per_product_enabled,Meta: _alg_wc_wholesale_pricing_discount_type,Meta: _alg_wc_wholesale_pricing_levels_number,Meta: send_coupons_on_renewals,Meta: _klb_single_video_input,Meta: _monsterinsights_sitenote_active,Meta: om_disable_all_campaigns,Image Source URL,Saved Filename,Status
6DD1BC,,28.0,,,,,,,,,,,
41CC3D,,34.0,,,,,,,,,,,
469B97,,19.0,,,,,,,,,,,
0CA3B8,,10.0,,,,,,,,,,,
63507E,,5.0,,,,,,,,,,,
31D54D,,9.0,,,,,,,,,,,
BEFBBF,,5.0,,,,,,,,,,,
DB624B,,6.0,,,,,,,,,,,
561EEF,,8.0,,,,,,,,,,,
02B126,,2.0,,,,,,,,,,,
A3F05B,,11.0,,,,,,,,,,,
8A2D63,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/05/betapac-curry-box.jpeg,23.0,type1,no,percent,0.0,no,,0.0,,,,
6F4C67,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/02/SERGE-ISLAND-MILK-330ml.jpg,79.0,type1,no,percent,0.0,no,,0.0,,,,
912151,,12.0,,,,,,,,,,,
50704B,,9.0,,,,,,,,,,,
A6E764,,8.0,,,,,,,,,,,
3B41FD,,12.0,,,,,,,,,,,
EF98E9,,4.0,,,,,,,,,,,
AE4B17,,6.0,,,,,,,,,,,
FE07B0,,4.0,,,,,,,,,,,
FCD10F,,13.0,,,,,,,,,,,
2906A8,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/1Litre-FiWi-Choice-Retail-Oil.jpg,50.0,type1,no,percent,0.0,no,,0.0,,,,
3A4072,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/2-Ltr-Lider-Oil-8.jpg,69.0,type1,no,percent,0.0,no,,0.0,,,,
217F24,,5.0,,,,,,,,,,,
B76017,,11.0,,,,,,,,,,,
6228A8,,11.0,,,,,,,,,,,
1C8CCD,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/08/Miracle_Full_Cream_Milk_1L__69319_zoom.jpg,63.0,type1,no,percent,0.0,no,,0.0,,,,
7DE61B,,6.0,,,,,,,,,,,
5C0B6E,,7.0,,,,,,,,,,,
069C1D,,3.0,,,,,,,,,,,
3B48F9,,8.0,,,,,,,,,,,
5F8C14,,3.0,,,,,,,,,,,
0AF30C,,14.0,,,,,,,,,,,
9C6467,,5.0,,,,,,,,,,,
D6571D,,4.0,,,,,,,,,,,
616342,,1.0,,,,,,,,,,,
BA99C4,,9.0,,,,,,,,,,,
F96736,,3.0,,,,,,,,,,,
91627F,,4.0,,,,,,,,,,,
FFA820,,15.0,,,,,,,,,,,
D26F2D,,14.0,,,,,,,,,,,
A23375,,7.0,,,,,,,,,,,
198AC2,,13.0,,,,,,,,,,,
87533F,,7.0,,,,,,,,,,,
A202F3,,8.0,,,,,,,,,,,
