SKU,Original Name,Similarity Score,Image Source URL,Saved Filename,Status
1557D8,12oz Plastic Cup 50*25,87.17948717948718,https://www.foxvalleyfarms.com/wp-content/uploads/fvf-pkg12p.jpg,12oz_Plastic_Cup_5025.jpg,Success
D71CD3,12oz PowerHouse Scent Booster,0,,,Failed
6F680B,12pk Mem Select American Cheese Singles,92.5925925925926,https://storage.googleapis.com/images-fol-prd-83dd8b8.fol.prd.v8.commerce.mi9cloud.com/product-images/detail/2100060473.jpg,12pk_Mem_Select_American_Cheese_Singles.jpg,Success
4B58A8,13oz Linstead Market Gungo Pea Assorted *24,0,,,Failed
FE6B52,13oz Linstead Market Red Peas *24,0,,,Failed
A71ED7,13oz NAIR MEN Cream Pump 13oz,0,,,Failed
E42D8B,14 IN 1 Miracle Worker Pouch,100.0,https://harborstreet.gibbotrading.com/wp-content/uploads/sites/2/2024/01/Picture-Coming-soon.jpg,14_IN_1_Miracle_Worker_Pouch.jpg,Success
4FFA07,"14 Ponytailers Tangle free Black 51/2"" #3355",0,,,Failed
2C0DC2,14.8oz Big Downy UNStopables,0,,,Failed
E543B3,14OZ Dax pomade,80.0,https://braidznbeauty.au/wp-content/uploads/2024/09/Dax-Pomade-Bergamot-14oz.png,14OZ_Dax_pomade.jpg,Success
B08669,14oz Heinz Yellow Mustard,88.88888888888889,https://jomtien-expat-foods.com/cdn/shop/products/image_43abae63-cf8e-448d-afff-e2b73c49164e_2048x.png?v=1685426002,14oz_Heinz_Yellow_Mustard.jpg,Success
40B073,14oz Johnson Baby Oil,85.71428571428572,https://canary.contestimg.wish.com/api/webimage/61bf7e0d5d2f0a239b4688e2-large.jpg?cache_buster=7ee466ee1b70c144a87e5a9f20c99d36,14oz_Johnson_Baby_Oil.jpg,Success
4C48DB,14oz Johnson Baby Oil-ALOE,80.0,https://babylightlebanon.com/cdn/shop/files/BZBTSLOJOH15243-1.jpg?v=1714061433&width=1946,14oz_Johnson_Baby_Oil-ALOE.jpg,Success
350085,14oz Lucky Hand Soap Assort.,0,,,Failed
8C07D1,14oz Pouch Lasco Choc Mix,0,,,Failed
D11546,1500g Alacta 1 Plus,0,,,Failed
3B6286,150g Ammens Powder,81.25,https://equity-pharmacy.com/wp-content/uploads/2016/11/534.-AMMENS-POWDER.jpg,150g_Ammens_Powder.jpg,Success
83E28A,150g EasiSpice Allpurp. Seas.,80.0,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2023/01/Easispice-All-Purpose-Seasoning-5.3oz_500.png,150g_EasiSpice_Allpurp_Seas.jpg,Success
E8B0E7,150ml 7 Seas Cod Liver Oil Liq,0,,,Failed
C72789,150ml DICA Antacid Liquid,86.36363636363636,https://www.gosupps.com/media/catalog/product/cache/25/image/1500x/040ec09b1e35df139433887a97daa66f/5/1/512CpczKaXL.jpg,150ml_DICA_Antacid_Liquid.jpg,Success
40249A,15g Ari FADE Cream,87.5,https://www.productsfromjamaica.com/wp-content/uploads/horlicks-classic-malt-e1605226067676.jpg,15g_Ari_FADE_Cream.jpg,Success
140D54,15g Ari ScalpBlend,87.5,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2023/01/ariscalpblend.jpg,15g_Ari_ScalpBlend.jpg,Success
93937D,15oz Bertolli Alfredo Sce,85.1063829787234,https://s3-us-west-1.amazonaws.com/1source-upstream/product_photo/465816_front_1644299674.png,15oz_Bertolli_Alfredo_Sce.jpg,Success
4BE02D,15oz Summers Eve Delicate Blossom Fem Wash,88.09523809523809,https://i5.walmartimages.com/asr/5f7cd015-555d-41ee-a77c-ad06ec65c92c.fba0fd005f034397e1e6f9a6025993c8.jpeg,15oz_Summers_Eve_Delicate_Blossom_Fem_Wash.jpg,Success
1E4A23,15PK Best Dressed Beef Burger SB1,86.20689655172413,https://www.bestdressedchicken.com/wp-content/uploads/2018/04/unavailable-500x500.jpg,15PK_Best_Dressed_Beef_Burger_SB1.jpg,Success
C2CBDE,15PK Best Dressed Chicken Burger *12 SC1,82.35294117647058,https://fabulousmeats.com/wp-content/uploads/2023/09/Best_Dressed_Chicken_Burgers_15s_1.3kg_tagged__06737_zoom.jpg,15PK_Best_Dressed_Chicken_Burger_12_SC1.jpg,Success
F64B58,16.8oz Jergens Lotion,80.0,https://gjcurbside.com/wp-content/uploads/2020/05/jergens.jpeg,168oz_Jergens_Lotion.jpg,Success
05C852,16.9oz 0% Alc Lucky Mouth Wash,0,,,Failed
B10C89,16.9oz Fruit King Mango Juice,0,,,Failed
AABAD4,16.9oz Lucky Mouth Wash Mint,0,,,Failed
A80143,16.9oz Lucky Mouth Wash Original,87.71929824561404,https://jollys.dm/wp-content/uploads/2020/06/JP58920.jpg,169oz_Lucky_Mouth_Wash_Original.jpg,Success
8E8F77,16.9oz Lucky Mouth Wash WGreen,0,,,Failed
09D060,1600g Klim 1+ Prebio*6,0,,,Failed
D25A7E,160g Lasco Advance Cavity*48,81.63265306122449,https://fedlinsupermarket.com/cdn/shop/products/image_b34184d8-89d0-45da-a3a9-0bd68a8dc824_1400x.jpg?v=1647092980,160g_Lasco_Advance_Cavity48.jpg,Success
6791F7,160g Lasco Triple Care Toothpaste 48*,87.87878787878788,https://mastermacfood.com/wp-content/uploads/2021/10/LASCO-TRIPLE-CARE-TOOTHPASTE-160g.jpg,160g_Lasco_Triple_Care_Toothpaste_48.jpg,Success
B90AF3,16OZ  Choice Lime juice24*16oz,0,,,Failed
CECF27,16oz (25pk) Soup Bowl *40,0,,,Failed
A7275E,16oz As I Am Curling Jelly,89.36170212765957,https://curlfans.com.au/wp-content/uploads/2023/06/51Lrp14qWkL._AC_SL1200_-1.jpg,16oz_As_I_Am_Curling_Jelly.jpg,Success
CF8E71,16oz Ayrtons Epsom Salts,88.37209302325581,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2022/12/Ayrtons-16oz-Epsom-Salts-1.jpg,16oz_Ayrtons_Epsom_Salts.jpg,Success
B2FA75,16oz Ayrtons SCENTED Epsom Salts,0,,,Failed
19697D,16oz Bragg Apple Cider Vin *12,83.63636363636364,https://www.originshealth.com.sg/image/cache/catalog/products/Product/BRAGG-APPLE-CIDER-VINEGAR-16OZ-1600x1600.png,16oz_Bragg_Apple_Cider_Vin_12.jpg,Success
605801,16oz Cantu Argan Oil Leave in Conditioning,91.13924050632912,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/817513015175.jpg,16oz_Cantu_Argan_Oil_Leave_in_Conditioning.jpg,Success
DC340C,16oz Cantu Leave in Conditioning Repair Cream,91.76470588235294,https://s7d9.scene7.com/is/image/dollargeneral/pop-15517101-1,16oz_Cantu_Leave_in_Conditioning_Repair_Cream.jpg,Success
3E8749,16oz Covebay Hot Cup + Lids 40*25s,82.35294117647058,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2024/06/90569250-0734-4063-9879-706fe1aa93f1.jpg,16oz_Covebay_Hot_Cup__Lids_4025s.jpg,Success
681046,16oz Eco Gel*6,0,,,Failed
ED0316,16oz KR.Coffee Creamer 12,0,,,Failed
660EDF,16oz Kraft 1000 Island Dress*6,86.79245283018868,https://shop.lingandsons.com/cdn/shop/products/Kraft1000IslandDressingLite16oz_grande.jpg?v=1632344830,16oz_Kraft_1000_Island_Dress6.jpg,Success
85D521,16oz Lucky H/P Body Wash,0,,,Failed
A151C7,16oz Smoothie Cup/Lid 20*50,88.46153846153845,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2023/08/12oz-Smoothie-cup.jpg,16oz_Smoothie_CupLid_2050.jpg,Success
FDE442,16pk Kotex Long Liners,0,,,Failed
995AA4,170ml STR8 VYBZ UNSTOPPABLE DARK RUM *48,87.32394366197182,https://mastermacfood.com/wp-content/uploads/2025/01/STR8-VYBZ-UNSTOPPABLE-DARK-RUM-375ML.jpg,170ml_STR8_VYBZ_UNSTOPPABLE_DARK_RUM_48.jpg,Success
